MA0050ZZ - MOAKLEY COURTHOUSE,Voluntary,Courthouse,1 COURTHOUSE WAY,2109,915346,75.5,,,"Courthouse, Data Center, Parking, Prison/Incarceration, Residence Hall/Dormitory, Restaurant, Social/Meeting Hall",1998,5491.1,5.6,73429424.9,0.67,0.33,0,10.2,,"There are 4 data rooms in the Moakley; 2 USMS, 1 USCA, 1 USA",,602671010,"2014, 2015, 2016, 2017, "
1 Milk,Yes,Office,1 Milk Street,2109,44464,,,,Office,1899,  ,,  ,0,0,0,2.6,,,,304637010,"2016, 2017, "
One State,Yes,Office,1 State Street,2109,64428,,,,Office,1928,  ,,  ,0,0,0,4350.6,,,,303899000,"2014, 2015, 2017, "
10 PO Square,Voluntary,Office,10 Post Office Square,2109,405797,59.7,91,,Office,1920,1723.4,4.2,24213285.7,0.559,0.441,0,10.7,,,,"0303879000, 0303880000,0303878000, 0303878010 ","2014, 2015, 2016, 2017, "
Fulton Court Condominium Trust,Yes,Multifamily Housing,100 Fulton Street,2109,100800,29.9,84,,Multifamily Housing,1990,257.6,2.6,3014416.7,1,0,0,20.5,,,,303478000,"2015, 2016, 2017, "
120 Fulton St,Yes,Multifamily Housing,120 Fulton St,2109,37522,63.8,21,,Multifamily Housing,1900,168.7,4.5,2394176.4,0.537,0.463,0,38.3,,,,303474000,"2017, "
East Coast Condominium,Voluntary,Multifamily Housing,"122, 130 Fulton Street",2109,24455,78.1,35,,Multifamily Housing,1900,118.4,4.8,1909275.3,0.275,0.725,0,30.7,,,,303471000,"2017, "
Christopher Columbus Plaza: 145 Commercial Street,Yes,Multifamily Housing,145 Commercial St,2109,174895,59.5,80,,Multifamily Housing,1976,657.2,3.8,10410307.7,0.31,0.69,0,26.7,,,,303551000,"2015, 2016, 2017, "
148 State Street,Yes,Office,148 State Street,2109,64233,86.3,63,,"Office, Restaurant",1899,391.1,6.1,5543929,0.539,0.461,0,14.9,,,,303751000,"2014, 2015, 2016, 2017, "
15 Broad st,Yes,Office,15 Broad St,2109,83845,66.2,95,,Office,1910,356.1,4.2,5549941.8,0.342,0.658,0,7.8,,,,303836000,"2014, 2015, 2016, 2017, "
7 Water Street,Yes,Financial Office,15 Water Street,2109,46006,86.1,58,,Financial Office,1978,286.8,6.2,3961357,0.597,0.403,0,9.3,,,,303903010,"2017, "
North Bennet Street School,Yes,Vocational School,150 North Street,2109,56946,77.5,,,Vocational School,1932,279.6,4.9,4412589.5,0.394,0.56,0,4.1,60250,,,0303305010 0303306010,"2016, 2017, "
Grain Exchange Building,Yes,Office,177 Milk Street,2109,75327,85.8,71,,Office,1891,455.1,6,6466500.1,0.534,0.466,0,7,,"Parcel ID: 0303940000 Address: 177 MILK ST BOSTON MA 02109 Property Type: Commercial Classification Code: 346 (Commercial Property / OFFICE CLS B) Lot Size: 12,166 sq ft Living Area: 76,300 sq ft ",,303940000,"2014, 2017, "
Harborside Inn,Yes,Hotel,185 State Street,2109,62370,127,9,,Hotel,1875,551.8,8.8,7922353.6,0.512,0.489,0,42.2,,,,303808000,"2014, 2015, 2016, 2017, "
Dock Square Garage,Yes,Parking,20 Clinton Street,2109,287427,208.1,,,"Office, Parking, Restaurant",1980,387,12.5,6465488.2,0.209,0,0,5.7,,,,303409000,"2017, "
200 State Street,Yes,Office,200 State Street,2109,352323,80.2,47,,"Office, Parking",1986,2414.4,6.9,28257779,1,0,0,15,,,,303790002,"2014, 2016, 2017, "
Old State House,Municipal ,Office,206 Washington St,2109,14088,,,,Office,2000,  ,,  ,0,0,0,32.5,,,,303890000,"2016, 2017, "
255 State Street Building,Yes,Office,255 State Street,2109,202022,,,,Office,1918,  ,,  ,0,0,0,,,,,303821000,"2015, 2016, 2017, "
"The Bostonian Boston, a Millennium Hotel",Yes,Hotel,26 North Street,2109,204900,89,58,,Hotel,1982,1263.3,6.2,18244775.5,0.499,0.501,0,53.5,,,,303365000,"2015, 2016, 2017, "
28 State Street,Yes,Office,28 State Street,2109,572419,79.7,68,2013,"Office, Parking",1968,3897.8,6.8,45618032.7,1,0,0,13.6,,,,303694000,"2015, 2016, 2017, "
33751-Boston Marriott Long Wharf,Yes,Hotel,296 State Street,2109,350000,82.5,62,,Hotel,1990,2134.6,6.1,28867796.4,0.644,0.356,0,55.9,,,,303020000,"2016, 2017, "
Marriott Custom House,Yes,Hotel,3 McKinley Sq,2109,150000,,,,"Hotel, Parking",1847,    ,0,  ,0,0,0,,,,,303822110,"2017, "
Mariner Condo Associates,Yes,Multifamily Housing,300 Commercial St,2109,186285,38.1,69,,Multifamily Housing,1986,519.5,2.8,7102463.9,0.62,0.38,0,18.4,,,,303543000,"2017, "
31 Milk Street,Yes,Office,31 Milk Street,2109,95216,85.1,72,,Office,1923,554.8,5.8,8099642.2,0.476,0.524,0,8.8,,,,304642004,"2014, 2015, 2016, 2017, "
33 Broad Street,Yes,Office,33 Broad Street,2109,40736,120.3,37,,"Food Service, Office, Self-Storage Facility",1902,315.3,7.7,4901406.2,0.347,0.653,0,14.6,,,,303840000,"2016, 2017, "
Union Wharf Condominiums,Yes,Multifamily Housing,343 Commercial Street,2109,250000,12.6,,,"Multifamily Housing, Swimming Pool",1978,223.4,0.9,3154734.5,0.548,0.452,0,14.2,,,,303038200,"2015, 2016, 2017, "
San Marco/Lincoln Wharf Condominium Trust: Lincoln Wharf,Yes,Multifamily Housing,357 Commercial Street,2109,310000,49,56,,Multifamily Housing,1987,1248.3,4,15189328.7,0.71,0,0,24.5,,,,303039000,"2015, 2016, 2017, "
Engine 08,Municipal ,Fire Station,392 Hanover St,2109,9926,152.2,,,Fire Station,2000,89.7,9,1511023.3,0.194,0.806,0,17.4,,,,302072000,"2016, 2017, "
Burroughs Wharf Condominium,Yes,Multifamily Housing,40 & 50 Battery Street,2109,106921,1164.4,1,,Multifamily Housing,1993,6807.4,63.7,124495386.4,0.048,0.952,0,25.6,,,,303040000,"2015, 2016, 2017, "
40 Broad St.,Yes,Office,40 Broad St.,2109,309915,56,90,"2016, 2015, 2014, 2013, 2012, 2011, 2010","Office, Restaurant",1923,1431,4.6,17340010,0.847,0,0.153,13.2,,"We recalculated the GSA using CAD drawings, and included previously excluded non tenant areas. The revised GSA has increased from 286,159 sq ft to 309,915 sq ft.  ",,303824000,"2014, 2015, 2016, 2017, "
Mirabella Pool,Municipal ,Other - Recreation,475 Commercial St,2109,3220,111.3,,,"Other - Recreation, Swimming Pool",2003,28.9,9,358455.5,0.851,0.149,0,,,,,303055000,"2016, 2017, "
MA0013ZZ - J W MCCORMACK BLDG,Voluntary,Office,5 POST OFFICE SQ,2109,776861,45.1,96,"2015, 2012, 2011","Courthouse, Office, Parking",1933,2635.4,3.4,35020319.4,0.465,0.001,0.534,6.7,,,,303881000,"2014, 2015, 2016, 2017, "
Marine Unit,Yes,Fire Station,50 Battery St,2109,5000,238.6,,,Fire Station,2000,40.8,20.4,477168.2,1,0,0,,,,,303040000,"2016, 2017, "
50 Congress St,Yes,Office,50 Congress Street,2109,179872,77.8,92,,"Bank Branch, Fast Food Restaurant, Office, Other",1915,1095.3,6.1,13988914.1,0.364,0,0,10.1,,,,303874000,"2014, 2015, 2016, 2017, "
"50 Milk Street, LLC",Yes,Office,50 Milk Street,2109,290759,61,,"2012, 2011, 2010, 2009, 2007","Data Center, Office, Parking, Restaurant",1981,1515.1,5.2,17731641,1,0,0,15.7,,,,303910000,"2016, 2017, "
53 State Street,Yes,Office,53 State Street,2109,1321219,51.8,91,"2017, 2016, 2015, 2014, 2013, 2010, 2009, 2008","Bank Branch, Convenience Store without Gas Station, Fitness Center/Health Club/Gym, Office, Parking, Restaurant",1985,5588.7,4.2,68403662.8,0.808,0.006,0.185,8.4,,"",,303870000,"2014, 2015, 2016, 2017, "
60 State Street,Yes,Office,60 State Street,2109,958470,79.2,75,"2016, 2014, 2013","Financial Office, Office, Parking, Restaurant",1978,5993.3,6.3,75950720.9,0.665,0.011,0.324,17.6,,,,303685000,"2014, 2015, 2016, 2017, "
64 Broad Street,Voluntary,Office,64 Broad Street,2109,13000,47.9,63,,Office,1847,53.2,4.1,622335.1,1,0,0,8.9,,,,303995000,"2014, 2015, 2016, 2017, "
Villa Michelangelo,Yes,Multifamily Housing,64-84 Charter Street,2109,65000,68.4,19,,Multifamily Housing,2001,301.4,4.6,4444351.3,0.455,0.545,0,36.2,,,,302161000,"2017, "
75 State Street,Yes,Financial Office,75 State Street,2109,813261,61.7,89,"2017, 2016, 2015, 2013, 2012, 2010, 2009, 2008","Financial Office, Office, Other, Other - Restaurant/Bar, Parking, Retail Store",1987,4284,5.3,50138626.4,1,0,0,13,,,,303860000,"2014, 2015, 2016, 2017, "
Federal Express Building,Yes,Distribution Center,775 Summer Street,2109,97000,78.2,81,,"Distribution Center, Office",1995,455.3,4.7,7581424.6,0.215,0.785,0,0.1,,,,603405000,"2015, 2016, 2017, "
84 State Street,Yes,Office,84 State Street,2109,133208,51.2,90,"2016, 2015, 2014, 2013, 2012, 2011","Office, Other, Restaurant",1902,564.9,4.2,6817252.7,0.77,0,0,10,,,,0303680-000,"2014, 2015, 2016, 2017, "
Winhall Liberty LLC,Yes,Office,87 Kilby Street,2109,67609,,,,Office,1907,  ,,  ,0,0,0,,,,,303877000,"2016, 2017, "
99 Fulton Street: 99 Fulton Street,Yes,Multifamily Housing,99 Fulton Street,2109,37000,59,86,,Multifamily Housing,1976,163.8,4.4,2183821.7,0.332,0,0,33.2,,"Whole building electric usage provided directly by EversourceOil usage provided by Delvaney EnergyThere is no gas fuel for this address. ",,303604000,"2017, "
Battery Wharf Master Condo Assoc,Yes,Multifamily Housing,Battery Wharf Master Condominium Association,2109,298723,106.1,5,,Multifamily Housing,2007,2200.2,7.4,31691313.8,0.505,0.495,0,35.2,,,,303041300,"2014, 2015, 2016, 2017, "
Faneuil Hall,Municipal ,Lifestyle Center,Faneuil Hall South Market St.,2109,28000,45,,,Other - Mall,2000,90.7,3.2,1260091.9,0.294,0,0.706,,,,,303689000,"2016, 2017, "
One Faneuil Hall Square,Yes,Office,One Faneuil Hall Square,2109,44287,102.7,38,,"Office, Retail Store",1980,342.2,7.7,4549700.8,0.683,0.317,0,1.9,,,,303675000,"2016, 2017, "
Oakwood Boston,Yes,Multifamily Housing,One India St,2109,117588,102.2,1,,"Multifamily Housing, Restaurant",1901,853.8,7.3,12017925.6,0.555,0.445,0,41.3,,,,303823000,"2015, 2016, 2017, "
One Liberty Square,Yes,Office,One Liberty Square,2109,173600,45.6,87,"2016, 2015, 2014, 2013, 2012, 2011",Office,1926,676.1,3.9,7912418,1,0,0,7.1,,Conducted energy audit 10/2010.  PM implementing and tracking ECMs.,,303833000,"2014, 2015, 2016, 2017, "
One Post Office Square,Yes,Office,One Post Office Square,2109,831283,66.3,77,"2016, 2015, 2013, 2012, 2010, 2009","Office, Parking",1981,4678.2,5.6,55082884.3,0.994,0,0,12,,,,304160000,"2014, 2015, 2016, 2017, "
Garage at Post Office Square,Yes,Other,Zero Post Office Square,2109,50000,57.7,,,"Other - Recreation, Parking",1990,246.3,4.9,2883064.4,1,0,0,21.4,,"assessing parcel 0304163000.   Parking Garage has restrooms which are open to the public 24 hours/7 days, accounting for a significant portion of water use.",,304163000,"2014, 2015, 2016, 2017, "
North End Garage,Yes,Parking,600 Commercial St.,02109-1015,1,3.4,,,Parking,1925,60.7,0.3,710563.3,1,0,0,25000,,,,301937000,"2014, 2015, 2016, 2017, "
One Winthrop Square,Yes,Office,1 Winthrop Square,2110,114257,63.2,85,"2016, 2015",Office,1873,535.9,4.7,7216275.7,0.654,0.346,0,10.9,,,,304618000,"2014, 2015, 2016, 2017, "
121 - Roche Bros.,Yes,Supermarket/Grocery Store,10 Summer St,2110,37000,222.3,59,,Supermarket/Grocery Store,2008,651.1,17.6,8225916.2,0.805,0.195,0,,,,,304585010,"2017, "
St. Anthony Shrine,Yes,Worship Facility,100 Arch Street,2110,126573,41.7,,,Worship Facility,1954,347.6,2.7,5278136.7,0,0.041,0.959,12.6,,"The subject property consists of a 19,126 SF mid-block site that is improved with St. Anthony's Shrine and friary.  The building, which consists of two distinct parts, contains a total GBA of 126,573 SF according to municipal records.  The building's shrine component is finished with multiple levels of churches and a chapel, as well as a lower level food pantry.  The second component rises 11 stories and is used as residences for the religious order, as well as office spaces.  Property use detail was estimated.  Reporting was performed by attorney for building owner. ",,304608000,"2017, "
100 Federal St.,Yes,Office,100 Federal St.,2110,1478145,74.9,84,"2017, 2016, 2015, 2013, 2009","Data Center, Office, Parking",1970,8538.7,5.8,110738242.6,0.562,0,0.438,9.8,,,,304410000,"2014, 2015, 2016, 2017, "
100 Franklin Street,Yes,Office,100 Franklin Street,2110,124055,58.7,83,,"Bank Branch, Office",1908,567.3,4.6,7278200.4,0.768,0.232,0,8.3,,,,304666000,"2014, 2015, 2016, 2017, "
100 High Street,Yes,Office,100 High Street,2110,550317,62.6,84,"2017, 2014, 2012, 2011, 2010","Data Center, Office, Parking",1988,2941.5,5.3,34426722.6,1,0,0,10.3,,,,304408000,"2014, 2016, 2017, "
100 Summer Street,Yes,Office,100 Summer Street,2110,1164826,75.4,75,"2016, 2015, 2014, 2013, 2012, 2011","Fast Food Restaurant, Office, Other, Parking",1974,6779.6,5.9,86163551.1,0.645,0,0.355,10.4,,"This building is a large office building in downtown Boston.  It represents a single building only.  The square footages used in previous time periods are inconsistent.  The current occupancy and vacancy numbers are a reasonable representation of the those in the past, and have been confirmed to be accurate over  the performance period.",,304220000,"2014, 2015, 2016, 2017, "
CBRE - 101 Arch St,Yes,Office,101 Arch Street,2110,473896,68.1,87,"2017, 2016, 2015, 2013, 2012, 2011, 2010, 2009","Fast Food Restaurant, Food Service, Office, Parking, Restaurant",1988,2712.9,5.7,32284501.7,0.956,0.044,0,10.6,,,,304597000,"2014, 2015, 2016, 2017, "
101 Summer Street,Yes,Office,101 Summer Street,2110,48905,73.8,58,,Office,1899,289.1,5.9,3610448.4,0.834,0.166,0,21,,,,304577000,"2017, "
11 Beacon,Yes,Office,11 Beacon Street,2110,146388,79.9,89,,"Office, Other - Restaurant/Bar",1911,753.8,5.1,11693921.2,0.351,0.649,0,9.2,,,,302804000,"2014, 2015, 2016, 2017, "
Mercantile Wharf: Mercantile Wharf,Yes,Multifamily Housing,111 Atlantic Avenue,2110,230000,50.6,73,,Multifamily Housing,1974,732.3,3.2,11633909.4,0.304,0.696,0,36.4,,,,303636000,"2015, 2016, 2017, "
Engine 10,Yes,Fire Station,125 Purchase St,2110,30052,132.6,,,Fire Station,2000,259.1,8.6,3984972.4,0.368,0.632,0,20.5,,,,"304102000, 304102000","2016, 2017, "
125 Summer Street,Yes,Office,125 Summer Street,2110,521903,60.9,80,"2016, 2015, 2014, 2013, 2012, 2011","Office, Parking",1989,2714.2,5.2,31766095.4,1,0,0,9.9,,"This property represents a single building only.  The building is currently seeking LEED EB Certification:Project Name = 125 Summer StreetProject ID = 1000063066",,304256000,"2014, 2015, 2016, 2017, "
Combined Jewish Philanthropies,Yes,Office,126 High Street,2110,76315,71.5,85,,Office,1899,382.5,5,5456676.2,0.525,0.475,0,8.4,,,,304133000,"2014, 2015, 2016, 2017, "
BE Realty,Yes,Mixed Use Property,133 Federal St,2110,127689,133,43,,"Office, Restaurant",1960,1255.1,9.8,16987934.1,0.393,0,0.607,13.2,,,,304206000,"2014, 2015, 2016, 2017, "
155 Federal Street,Yes,Office,155 Federal St,2110,179910,,,,Office,1983,  ,,  ,0,0,0,,,,,304210000,"2014, 2017, "
10 High St,Yes,Office,155 Federal St,2110,116823,,,,Office,1914,  ,,  ,0,0,0,,,,,304211000,"2014, 2017, "
The Landmark,Yes,Office,160 Federal Street,2110,366650,46.4,87,"2016, 2015, 2013",Office,1929,1452.3,4,16996979.2,1,0,0,11.6,,,,304406000,"2016, 2017, "
175 Federal Street,Yes,Office,175 Federal Street`,2110,227365,63.2,87,"2016, 2015, 2014, 2012","Bank Branch, Office",1977,1227.1,5.4,14361355,1,0,0,,,,,304231000,"2014, 2015, 2016, 2017, "
