Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
Miller Hall,Yes,Residence Hall/Dormitory,10 Somerset Street,02108," 131,253 ",90.2,50,,Residence Hall/Dormitory,2004, 867.5 ,6.6," 11,834,472.5 ",42.1%,8.4%,49.5%,36.4,,,,302803000,"2014, 2016, 2017, "
10 Tremont Street,Yes,Office,10 Tremont Street,02108," 38,000 ",63,99,,Office,1900, 176.0 ,4.6," 2,394,594.6 ",,,,10.9,,,,302854000,"2016, 2017, "
Sears Crescent Building,Yes,Office,100 City Hall Plaza ,02108," 50,300 ",85.5,59,,Office,1816, 304.8 ,6.1," 4,301,672.1 ",54.8%,45.2%,,18.5,,,,302897000,"2017, "
101 Tremont,Yes,Office,101 Tremont Street,02108," 80,344 ",64.5,Not Available,,Office,1901, 349.5 ,4.4," 5,181,744.7 ",44.4%,55.7%,,29.6,,,,0304717000,"2015, 2016, 2017, "
10-24 School Street,Yes,Office,10-24 School Street,02108," 134,789 ",74.2,86,"2017, 2016","Office, Retail Store",1925, 772.1 ,5.7," 9,995,985.3 ",56.9%,0.0%,43.1%,10.3,,,,304718000,"2015, 2016, 2017, "
Sargent Hall,Yes,College/University,120 Tremont Street,02108," 287,602 ",47.8,Not Available,,Other,1996," 1,144.0 ",4.0," 13,727,428.7 ",93.5%,6.5%,,15.0,,,,304758010,"2014, 2016, 2017, "
Beacon Hill House,Yes,Multifamily Housing,122 Bowdoin Street,02108," 39,800 ",137.3,Not Available,,"Multifamily Housing, Retail Store",1890, 317.0 ,8.0," 5,466,349.9 ",15.1%,84.9%,,6715.5,,,,0302813000,"2016, 2017, "
BostonView Apartments,Yes,Multifamily Housing,130-140 Bowdoin St,02108," 209,103 ",13.1,100,,"Multifamily Housing, Parking",1965, 233.8 ,1.1," 2,736,096.2 ",100.0%,,,,,,,02811-000,"2016, 2017, "
Congregational House,Yes,Office,14 Beacon Street,02108," 71,900 ",51.4,95,,"Library, Office",1897, 291.7 ,4.1," 3,698,055.9 ",48.0%,3.4%,,5.5,,"Building houses the Congregational Library and has a climate control system.
Rest of building is made up of office spaces rented to both profit and non-profit tenants.",,0304692050,"2014, 2015, 2016, 2017, "
Ridgeway Building,Yes,College/University,148 Cambridge Street,02108," 46,790 ",160.8,Not Available,,College/University,1989, 454.2 ,9.7," 7,524,953.6 ",22.4%,77.6%,,14.3,,,,300087000,"2016, 2017, "
FIFTEEN BEACON STREET LLC,Yes,Hotel,15 A BEACON ST,02108," 41,405 ",282.8,Not Available,,"Hotel, Other - Restaurant/Bar",1909, 767.4 ,18.5," 11,710,686.6 ",37.1%,35.2%,27.7%,84.6,,,,302805000,"2017, "
"Brickpoint Properties, Inc.",Yes,Office,15 Court Square,02108," 81,986 ",60.3,94,,Office,1911, 334.0 ,4.1," 4,946,200.4 ",44.6%,55.4%,,1.4,,,,0302866000,"2014, 2015, 2016, 2017, "
New England Center for Homeless Veterans,Yes,Barracks,17 Court St.,02108," 125,530 ",54.3,67,,Barracks,1908, 524.1 ,4.2," 6,812,700.3 ",72.8%,25.0%,2.2%,37.3,,Steam usage billing period spans greater than 31 days.,,0302886000,"2015, 2016, 2017, "
"RECP V 18 Tremont Owner, LLC",Yes,Office,18 Tremont Street,02108," 210,669 ",Not Available,Not Available,,Office,1915, Not Available ,Not Available, Not Available ,,,,6.1,,,,302859000,"2016, 2017, "
Faros 20 Ashburton LLC,Yes,Office,20 Ashburton Place,02108," 43,073 ",26.2,Not Available,,Office,1968, 96.6 ,2.2," 1,130,054.4 ",100.0%,,,10.1,,,,302814000,"2017, "
20 City Hall Ave,Municipal ,Office,20 City Hall Ave,02108," 9,680 ",179.2,15,,Office,2000, 108.5 ,11.2," 1,734,399.7 ",14.7%,50.1%,35.2%,,,,,302865000,"2016, 2017, "
20 Somerset Building,Yes,College/University,20 Somerset Street,02108," 103,599 ",72.1,Not Available,,College/University,2015, 638.2 ,6.2," 7,468,757.4 ",100.0%,,,8.6,,,,302782000,"2016, 2017, "
Twenty-One Beacon Condominium,Yes,Multifamily Housing,21 Beacon Street,02108," 94,785 ",163.9,4,,"Convenience Store without Gas Station, Multifamily Housing, Office, Other - Restaurant/Bar",1900, 966.7 ,10.2," 15,533,903.7 ",28.2%,71.8%,,71.2,,,,302807000,"2015, 2016, 2017, "
Court Street,Municipal ,Office,26 Court Street,02108," 152,532 ",60,94,,Office,2000, 616.2 ,4.0," 9,158,945.7 ",43.8%,56.2%,,,,,,302860000,"2016, 2017, "
Pi Alley Garage,Yes,Mixed Use Property,275 Washington St,02108," 23,000 ",306.3,Not Available,,"Other, Parking",1970, 559.7 ,24.3," 7,045,016.4 ",81.4%,18.6%,,45.8,,,,0302875000,"2014, 2015, 2016, 2017, "
TFC 30 Winter LLC,Yes,Office,30 Winter Street,02108," 87,228 ",61.4,Not Available,,"Data Center, Office, Retail Store",1975, 410.3 ,4.7," 5,351,926.8 ",100.0%,,,12.2,,,,304770000,"2017, "
32-38 Bromfield Street,Yes,Mixed Use Property,32-38 Bromfield Street,02108," 41,818 ",60.9,95,,Office,1899, 176.3 ,4.2," 2,547,626.5 ",17.6%,4.1%,78.3%,4.8,,This is a mixed-use building.  Retail space ground floor office space above.,,0304761000,"2016, 2017, "
Parkman House,Municipal ,Multifamily Housing,33 Beacon St,02108," 18,000 ",52.9,Not Available,,Other,2000, 61.2 ,3.4," 952,970.5 ",34.4%,65.6%,,1.7,,,,501617000,"2016, 2017, "
333 Washington Condo Trust,Yes,Other - Mall,333 Washington Street,02108," 143,954 ",104.2,Not Available,,Other - Mall,1930," 1,080.8 ",7.5," 15,004,981.0 ",58.5%,41.5%,,42.8,,,,304721000,"2017, "
350 Washington Street,Yes,Retail Store,350 Washington Street,02108," 166,700 ",85.5,46,,"Fitness Center/Health Club/Gym, Retail Store",1965," 1,162.9 ",7.0," 14,249,359.3 ",79.9%,,20.1%,21.2,,,,0304630010,"2014, 2015, 2016, 2017, "
37 Beacon Street Condominium Trust,Yes,Multifamily Housing,37 Beacon Street,02108," 30,295 ",32.9,98,,Multifamily Housing,1900, 79.9 ,2.6," 997,265.2 ",53.3%,0.2%,,25.9,,,,501607000,"2017, "
Washington Jewelers Building,Yes,Office,373-387 Washington St.,02108," 118,094 ",84.3,Not Available,,"Office, Retail Store",1920, 803.3 ,6.8," 9,950,867.6 ",62.2%,2.2%,,40.8,,,,0304734000,"2014, 2015, 2016, 2017, "
399washington,Yes,Other,399 washington St,02108," 59,891 ",7753.3,Not Available,,"Other, Retail Store",1918," 30,835.3 ",514.9," 464,351,294.1 ",0.1%,0.1%,99.8%,5.3,,,,03-04736-000,"2014, 2015, 2016, 2017, "
40 Court Street,Yes,Office,40 Court Street,02108," 130,000 ",84.6,75,,Office,1914, 768.1 ,5.9," 10,995,798.5 ",36.9%,26.9%,36.2%,14.7,,,,0302855000,"2014, 2015, 2016, 2017, "
The Corner Mall,Yes,Office,413 Washington Street,02108," 212,515 ",105,46,,"Office, Performing Arts, Retail Store",1925," 1,634.5 ",7.7," 22,307,972.7 ",56.5%,29.2%,14.3%,40.9,,"This is a mixed use office/retail/food court/theatre building.
",,0304738000,"2014, 2015, 2016, 2017, "
45 Bromfield,Voluntary,Office,45 Bromfield Street,02108," 22,448 ",Not Available,Not Available,,Office,1912, -   ,0.0, Not Available ,,,,14.5,,,,304715000,"2017, "
45 Province Condominium,Yes,Multifamily Housing,45 Province Street,02108," 195,022 ",130,1,,Multifamily Housing,2009," 1,886.3 ",9.7," 25,352,483.0 ",65.9%,34.1%,,33.7,,,,0304705000,"2015, 2016, 2017, "
Old City Hall,Yes,Office,45 School Street ,02108," 97,230 ",78.6,80,,"Office, Restaurant",1862, 579.5 ,6.0," 7,643,811.4 ",60.9%,16.5%,22.6%,26.2,,,,302856000,"2015, 2016, 2017, "
HOLY SPIRIT ASSOCIATION,Yes,Worship Facility,46 Beacon St,02108," 35,000 ",46.1,49,,Worship Facility,1860, 111.0 ,3.2," 1,612,201.1 ",17.4%,27.3%,,2467.7,,,,501489001,"2017, "
The Paulist Center,Yes,Worship Facility,5 Park Street,02108," 36,360 ",68.5,Not Available,,"Residence Hall/Dormitory, Worship Facility",1945, 182.9 ,5.0," 2,490,370.2 ",40.3%,4.7%,55.0%,14.0,,"This whole building is in use 24/7, even though the drop down menus were only allowing me to say it was in use for 5 days a week.  There was no weekend option, when we have tons of things happening.",,304681000,"2016, 2017, "
"55 Court, LLC",Yes,Office,55 Court Street,02108," 49,412 ",5.8,Not Available,,"Office, Retail Store",1968, 24.5 ,0.5," 287,282.9 ",100.0%,,,,,The retail store is VACANT.,,0302892000,"2015, 2016, 2017, "
"Six Beacon Street, LLC",Yes,Office,6 Beacon Street,02108," 90,000 ",65.1,90,,Office,1900, 394.1 ,4.4," 5,861,406.6 ",43.7%,56.3%,,15.1,,,,0304695000,"2014, 2015, 2016, 2017, "
Omni Parker House,Yes,Hotel,60 School Street,02108," 338,000 ",44727,1,,Hotel,1855," 1,003,940.7 ",2970.2," 15,117,712,703.8 ",0.1%,0.1%,99.8%,76.0,,"Using monthly meter readings from U drive to input into Portfolio.  Getting monthly costs from Accounting to input into Portfolio.

All 2014 data inputed so far has been done using Ecova's website. Using utility bills off the website to input the information into Portfolio Manager.",,304696000,"2016, 2017, "
711 Atlantic Holdings,Yes,Office,711 Atlantic ,02108," 91,464 ",48.2,88,,Office,1900, 376.4 ,4.1," 4,405,263.9 ",100.0%,,,9.8,,,,0304309000,"2016, 2017, "
73 Tremont St,Yes,Office,73 Tremont St,02108," 303,975 ",114.4,31,"2015, 2014, 2013, 2012, 2010, 2009, 2008, 2007","Office, Other - Education, Parking",1898," 2,970.8 ",9.8," 34,768,500.7 ",100.0%,,,13.1,,,,0304675000,"2014, 2015, 2016, 2017, "
Sawyer Building,Yes,College/University,8 Ashburton Place,02108," 149,634 ",60.6,Not Available,,"Data Center, Office",1920, 719.4 ,4.8," 9,071,502.3 ",81.0%,19.0%,,17.8,,,,302802001,"2014, 2016, 2017, "
"Union Club of Boston, Inc.",Yes,Mixed Use Property,Eight Park Street,02108," 36,666 ",Not Available,Not Available,,"Hotel, Office, Restaurant",1863, Not Available ,Not Available, Not Available ,,,,30.9,,,,0304684000,"2016, 2017, "
One Boston Place,Yes,Office,One Boston Place,02108," 844,203 ",80.6,85,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2007",Office,1970," 5,201.7 ",6.2," 68,076,270.0 ",52.6%,0.0%,47.4%,10.0,,,,0302870000,"2014, 2015, 2016, 2017, "
MA0050ZZ - MOAKLEY COURTHOUSE,Voluntary,Courthouse,1 COURTHOUSE WAY,02109," 915,346 ",75.5,Not Available,,"Courthouse, Data Center, Parking, Prison/Incarceration, Residence Hall/Dormitory, Restaurant, Social/Meeting Hall",1998," 5,491.1 ",5.6," 73,429,424.9 ",67.0%,33.0%,,10.2,,"There are 4 data rooms in the Moakley; 2 USMS, 1 USCA, 1 USA",,0602671010,"2014, 2015, 2016, 2017, "
1 Milk,Yes,Office,1 Milk Street,02109," 44,464 ",Not Available,Not Available,,Office,1899, Not Available ,Not Available, Not Available ,,,,2.6,,,,0304637010,"2016, 2017, "
One State,Yes,Office,1 State Street,02109," 64,428 ",Not Available,Not Available,,Office,1928, Not Available ,Not Available, Not Available ,,,,4350.6,,,,303899000,"2014, 2015, 2017, "
10 PO Square,Voluntary,Office,10 Post Office Square,02109," 405,797 ",59.7,91,,Office,1920," 1,723.4 ",4.2," 24,213,285.7 ",55.9%,44.1%,,10.7,,,,"0303879000, 0303880000,0303878000, 0303878010 ","2014, 2015, 2016, 2017, "
Fulton Court Condominium Trust,Yes,Multifamily Housing,100 Fulton Street,02109," 100,800 ",29.9,84,,Multifamily Housing,1990, 257.6 ,2.6," 3,014,416.7 ",100.0%,,,20.5,,,,0303478000,"2015, 2016, 2017, "
120 Fulton St,Yes,Multifamily Housing,120 Fulton St,02109," 37,522 ",63.8,21,,Multifamily Housing,1900, 168.7 ,4.5," 2,394,176.4 ",53.7%,46.3%,,38.3,,,,0303474000,"2017, "
East Coast Condominium,Voluntary,Multifamily Housing,"122, 130 Fulton Street",02109," 24,455 ",78.1,35,,Multifamily Housing,1900, 118.4 ,4.8," 1,909,275.3 ",27.5%,72.5%,,30.7,,,,303471000,"2017, "
Christopher Columbus Plaza: 145 Commercial Street,Yes,Multifamily Housing,145 Commercial St,02109," 174,895 ",59.5,80,,Multifamily Housing,1976, 657.2 ,3.8," 10,410,307.7 ",31.0%,69.0%,,26.7,,,,0303551000,"2015, 2016, 2017, "
148 State Street,Yes,Office,148 State Street,02109," 64,233 ",86.3,63,,"Office, Restaurant",1899, 391.1 ,6.1," 5,543,929.0 ",53.9%,46.1%,,14.9,,,,0303751000,"2014, 2015, 2016, 2017, "
15 Broad st,Yes,Office,15 Broad St,02109," 83,845 ",66.2,95,,Office,1910, 356.1 ,4.2," 5,549,941.8 ",34.2%,65.8%,,7.8,,,,0303836000,"2014, 2015, 2016, 2017, "
7 Water Street,Yes,Financial Office,15 Water Street,02109," 46,006 ",86.1,58,,Financial Office,1978, 286.8 ,6.2," 3,961,357.0 ",59.7%,40.3%,,9.3,,,,303903010,"2017, "
North Bennet Street School,Yes,Vocational School,150 North Street,02109," 56,946 ",77.5,Not Available,,Vocational School,1932, 279.6 ,4.9," 4,412,589.5 ",39.4%,56.0%,,4.1," 60,250 ",,,0303305010 0303306010,"2016, 2017, "
Grain Exchange Building,Yes,Office,177 Milk Street,02109," 75,327 ",85.8,71,,Office,1891, 455.1 ,6.0," 6,466,500.1 ",53.4%,46.6%,,7.0,,"Parcel ID: 0303940000 
Address: 177 MILK ST BOSTON MA 02109 
Property Type: Commercial 
Classification Code: 346 (Commercial Property / OFFICE CLS B) 
Lot Size: 12,166 sq ft 
Living Area: 76,300 sq ft ",,0303940000,"2014, 2017, "
Harborside Inn,Yes,Hotel,185 State Street,02109," 62,370 ",127,9,,Hotel,1875, 551.8 ,8.8," 7,922,353.6 ",51.2%,48.9%,,42.2,,,,0303808000,"2014, 2015, 2016, 2017, "
Dock Square Garage,Yes,Parking,20 Clinton Street,02109," 287,427 ",208.1,Not Available,,"Office, Parking, Restaurant",1980, 387.0 ,12.5," 6,465,488.2 ",20.9%,,,5.7,,,,303409000,"2017, "
200 State Street,Yes,Office,200 State Street,02109," 352,323 ",80.2,47,,"Office, Parking",1986," 2,414.4 ",6.9," 28,257,779.0 ",100.0%,,,15.0,,,,0303790002,"2014, 2016, 2017, "
Old State House,Municipal ,Office,206 Washington St,02109," 14,088 ",Not Available,Not Available,,Office,2000, Not Available ,Not Available, Not Available ,,,,32.5,,,,303890000,"2016, 2017, "
255 State Street Building,Yes,Office,255 State Street,02109," 202,022 ",Not Available,Not Available,,Office,1918, Not Available ,Not Available, Not Available ,,,,,,,,303821000,"2015, 2016, 2017, "
"The Bostonian Boston, a Millennium Hotel",Yes,Hotel,26 North Street,02109," 204,900 ",89,58,,Hotel,1982," 1,263.3 ",6.2," 18,244,775.5 ",49.9%,50.1%,,53.5,,,,0303365000,"2015, 2016, 2017, "
28 State Street,Yes,Office,28 State Street,02109," 572,419 ",79.7,68,2013,"Office, Parking",1968," 3,897.8 ",6.8," 45,618,032.7 ",100.0%,,,13.6,,,,0303694000,"2015, 2016, 2017, "
33751-Boston Marriott Long Wharf,Yes,Hotel,296 State Street,02109," 350,000 ",82.5,62,,Hotel,1990," 2,134.6 ",6.1," 28,867,796.4 ",64.4%,35.6%,,55.9,,,,303020000,"2016, 2017, "
Marriott Custom House,Yes,Hotel,3 McKinley Sq,02109," 150,000 ",Not Available,Not Available,,"Hotel, Parking",1847, -   ,0.0, Not Available ,,,,,,,,303822110,"2017, "
Mariner Condo Associates,Yes,Multifamily Housing,300 Commercial St,02109," 186,285 ",38.1,69,,Multifamily Housing,1986, 519.5 ,2.8," 7,102,463.9 ",62.0%,38.0%,,18.4,,,,0303543000,"2017, "
31 Milk Street,Yes,Office,31 Milk Street,02109," 95,216 ",85.1,72,,Office,1923, 554.8 ,5.8," 8,099,642.2 ",47.6%,52.4%,,8.8,,,,0304642004,"2014, 2015, 2016, 2017, "
33 Broad Street,Yes,Office,33 Broad Street,02109," 40,736 ",120.3,37,,"Food Service, Office, Self-Storage Facility",1902, 315.3 ,7.7," 4,901,406.2 ",34.7%,65.3%,,14.6,,,,0303840000,"2016, 2017, "
Union Wharf Condominiums,Yes,Multifamily Housing,343 Commercial Street,02109," 250,000 ",12.6,Not Available,,"Multifamily Housing, Swimming Pool",1978, 223.4 ,0.9," 3,154,734.5 ",54.8%,45.2%,,14.2,,,,0303038200,"2015, 2016, 2017, "
San Marco/Lincoln Wharf Condominium Trust: Lincoln Wharf,Yes,Multifamily Housing,357 Commercial Street,02109," 310,000 ",49,56,,Multifamily Housing,1987," 1,248.3 ",4.0," 15,189,328.7 ",71.0%,,,24.5,,,,0303039000,"2015, 2016, 2017, "
Engine 08,Municipal ,Fire Station,392 Hanover St,02109," 9,926 ",152.2,Not Available,,Fire Station,2000, 89.7 ,9.0," 1,511,023.3 ",19.4%,80.6%,,17.4,,,,302072000,"2016, 2017, "
Burroughs Wharf Condominium,Yes,Multifamily Housing,40 & 50 Battery Street,02109," 106,921 ",1164.4,1,,Multifamily Housing,1993," 6,807.4 ",63.7," 124,495,386.4 ",4.8%,95.2%,,25.6,,,,0303040000,"2015, 2016, 2017, "
40 Broad St.,Yes,Office,40 Broad St.,02109," 309,915 ",56,90,"2016, 2015, 2014, 2013, 2012, 2011, 2010","Office, Restaurant",1923," 1,431.0 ",4.6," 17,340,010.0 ",84.7%,,15.3%,13.2,,"We recalculated the GSA using CAD drawings, and included previously excluded non tenant areas. The revised GSA has increased from 286,159 sq ft to 309,915 sq ft.  ",,0303824000,"2014, 2015, 2016, 2017, "
Mirabella Pool,Municipal ,Other - Recreation,475 Commercial St,02109," 3,220 ",111.3,Not Available,,"Other - Recreation, Swimming Pool",2003, 28.9 ,9.0," 358,455.5 ",85.1%,14.9%,,,,,,303055000,"2016, 2017, "
MA0013ZZ - J W MCCORMACK BLDG,Voluntary,Office,5 POST OFFICE SQ,02109," 776,861 ",45.1,96,"2015, 2012, 2011","Courthouse, Office, Parking",1933," 2,635.4 ",3.4," 35,020,319.4 ",46.5%,0.1%,53.4%,6.7,,,,0303881000,"2014, 2015, 2016, 2017, "
Marine Unit,Yes,Fire Station,50 Battery St,02109," 5,000 ",238.6,Not Available,,Fire Station,2000, 40.8 ,20.4," 477,168.2 ",100.0%,,,,,,,303040000,"2016, 2017, "
50 Congress St,Yes,Office,50 Congress Street,02109," 179,872 ",77.8,92,,"Bank Branch, Fast Food Restaurant, Office, Other",1915," 1,095.3 ",6.1," 13,988,914.1 ",36.4%,,,10.1,,,,0303874000,"2014, 2015, 2016, 2017, "
"50 Milk Street, LLC",Yes,Office,50 Milk Street,02109," 290,759 ",61,Not Available,"2012, 2011, 2010, 2009, 2007","Data Center, Office, Parking, Restaurant",1981," 1,515.1 ",5.2," 17,731,641.0 ",100.0%,,,15.7,,,,0303910000,"2016, 2017, "
53 State Street,Yes,Office,53 State Street,02109," 1,321,219 ",51.8,91,"2017, 2016, 2015, 2014, 2013, 2010, 2009, 2008","Bank Branch, Convenience Store without Gas Station, Fitness Center/Health Club/Gym, Office, Parking, Restaurant",1985," 5,588.7 ",4.2," 68,403,662.8 ",80.8%,0.6%,18.5%,8.4,,"
",,0303870000,"2014, 2015, 2016, 2017, "
60 State Street,Yes,Office,60 State Street,02109," 958,470 ",79.2,75,"2016, 2014, 2013","Financial Office, Office, Parking, Restaurant",1978," 5,993.3 ",6.3," 75,950,720.9 ",66.5%,1.1%,32.4%,17.6,,,,0303685000,"2014, 2015, 2016, 2017, "
64 Broad Street,Voluntary,Office,64 Broad Street,02109," 13,000 ",47.9,63,,Office,1847, 53.2 ,4.1," 622,335.1 ",100.0%,,,8.9,,,,0303995000,"2014, 2015, 2016, 2017, "
Villa Michelangelo,Yes,Multifamily Housing,64-84 Charter Street,02109," 65,000 ",68.4,19,,Multifamily Housing,2001, 301.4 ,4.6," 4,444,351.3 ",45.5%,54.5%,,36.2,,,,302161000,"2017, "
75 State Street,Yes,Financial Office,75 State Street,02109," 813,261 ",61.7,89,"2017, 2016, 2015, 2013, 2012, 2010, 2009, 2008","Financial Office, Office, Other, Other - Restaurant/Bar, Parking, Retail Store",1987," 4,284.0 ",5.3," 50,138,626.4 ",100.0%,,,13.0,,,,0303860000,"2014, 2015, 2016, 2017, "
Federal Express Building,Yes,Distribution Center,775 Summer Street,02109," 97,000 ",78.2,81,,"Distribution Center, Office",1995, 455.3 ,4.7," 7,581,424.6 ",21.5%,78.5%,,0.1,,,,0603405000,"2015, 2016, 2017, "
84 State Street,Yes,Office,84 State Street,02109," 133,208 ",51.2,90,"2016, 2015, 2014, 2013, 2012, 2011","Office, Other, Restaurant",1902, 564.9 ,4.2," 6,817,252.7 ",77.0%,,,10.0,,,,0303680-000,"2014, 2015, 2016, 2017, "
Winhall Liberty LLC,Yes,Office,87 Kilby Street,02109," 67,609 ",Not Available,Not Available,,Office,1907, Not Available ,Not Available, Not Available ,,,,,,,,0303877000,"2016, 2017, "
99 Fulton Street: 99 Fulton Street,Yes,Multifamily Housing,99 Fulton Street,02109," 37,000 ",59,86,,Multifamily Housing,1976, 163.8 ,4.4," 2,183,821.7 ",33.2%,,,33.2,,"Whole building electric usage provided directly by Eversource
Oil usage provided by Delvaney Energy

There is no gas fuel for this address. ",,303604000,"2017, "
Battery Wharf Master Condo Assoc,Yes,Multifamily Housing,Battery Wharf Master Condominium Association,02109," 298,723 ",106.1,5,,Multifamily Housing,2007," 2,200.2 ",7.4," 31,691,313.8 ",50.5%,49.5%,,35.2,,,,0303041300,"2014, 2015, 2016, 2017, "
Faneuil Hall,Municipal ,Lifestyle Center,Faneuil Hall South Market St.,02109," 28,000 ",45,Not Available,,Other - Mall,2000, 90.7 ,3.2," 1,260,091.9 ",29.4%,,70.6%,,,,,303689000,"2016, 2017, "
One Faneuil Hall Square,Yes,Office,One Faneuil Hall Square,02109," 44,287 ",102.7,38,,"Office, Retail Store",1980, 342.2 ,7.7," 4,549,700.8 ",68.3%,31.7%,,1.9,,,,303675000,"2016, 2017, "
Oakwood Boston,Yes,Multifamily Housing,One India St,02109," 117,588 ",102.2,1,,"Multifamily Housing, Restaurant",1901, 853.8 ,7.3," 12,017,925.6 ",55.5%,44.5%,,41.3,,,,0303823000,"2015, 2016, 2017, "
One Liberty Square,Yes,Office,One Liberty Square,02109," 173,600 ",45.6,87,"2016, 2015, 2014, 2013, 2012, 2011",Office,1926, 676.1 ,3.9," 7,912,418.0 ",100.0%,,,7.1,,Conducted energy audit 10/2010.  PM implementing and tracking ECMs.,,0303833000,"2014, 2015, 2016, 2017, "
One Post Office Square,Yes,Office,One Post Office Square,02109," 831,283 ",66.3,77,"2016, 2015, 2013, 2012, 2010, 2009","Office, Parking",1981," 4,678.2 ",5.6," 55,082,884.3 ",99.4%,,,12.0,,,,0304160000,"2014, 2015, 2016, 2017, "
Garage at Post Office Square,Yes,Other,Zero Post Office Square,02109," 50,000 ",57.7,Not Available,,"Other - Recreation, Parking",1990, 246.3 ,4.9," 2,883,064.4 ",100.0%,,,21.4,,"assessing parcel 0304163000.   Parking Garage has restrooms which are open to the public 24 hours/7 days, accounting for a significant portion of water use.",,0304163000,"2014, 2015, 2016, 2017, "
North End Garage,Yes,Parking,600 Commercial St.,02109-1015, 1 ,3.4,Not Available,,Parking,1925, 60.7 ,0.3," 710,563.3 ",100.0%,,,25000.0,,,,0301937000,"2014, 2015, 2016, 2017, "
One Winthrop Square,Yes,Office,1 Winthrop Square,02110," 114,257 ",63.2,85,"2016, 2015",Office,1873, 535.9 ,4.7," 7,216,275.7 ",65.4%,34.6%,,10.9,,,,0304618000,"2014, 2015, 2016, 2017, "
